#TCPLOG
#VERSION: 2
#DATE: 2018-03-01 04:29:12
#TIMESTAMP: 1519874952.067702
#RESOLUTION: 0.1s
#FORMAT: absoluteTimestamp relativeTimestamp srcIp srcPort dstIp dstPort cwnd sst rtt minRtt maxRtt avgRtt meanRtt throughput smoothedThroughput assumedLosses
#END_HEADER

1519874971.4313352 18.991860006 10.5.5.2 8080 10.5.5.1 34446 10 2147483647 25.84 _ _ _ _ _ _ _
1519874971.4327931 19.135696173 10.5.5.2 8080 10.5.5.1 34448 10 2147483647 25.824 _ _ _ _ _ _ _
1519874971.5328913 19.327817872 10.5.5.2 8080 10.5.5.1 34448 1068 2147483647 30.156 25.824 30.156 27.990000000000002 25.86732 245.68721954670565 0 0
1519874971.6331236 19.361842833 10.5.5.2 8080 10.5.5.1 34448 1316 1271 33.5 25.824 33.5 29.826666666666668 25.9436468 156.02146423948335 0 1
1519874971.7331262 19.458176651 10.5.5.2 8080 10.5.5.1 34448 1477 1271 36.711 25.824 36.711 31.54775 26.051320332 401.37545629120666 0 1
1519874971.8334963 19.552151754 10.5.5.2 8080 10.5.5.1 34448 1677 1271 39.112 25.824 39.112 33.0606 26.18192712868 483.0024760813619 0 1
1519874971.9336379 19.65058006 10.5.5.2 8080 10.5.5.1 34448 1875 1405 41.266 25.824 41.266 34.42816666666666 26.3327678573932 482.25444809721347 0 1
1519874972.0336685 19.738767625 10.5.5.2 8080 10.5.5.1 34448 2078 1558 41.631 25.824 41.631 35.457142857142856 26.485750178819266 491.7058798830582 0 1
1519874972.1339164 19.822990231 10.5.5.2 8080 10.5.5.1 34448 2280 1710 43.759 25.824 43.759 36.494875 26.658482677031074 493.9915926615454 0 1
1519874972.2339895 19.908429601 10.5.5.2 8080 10.5.5.1 34448 2496 1872 46.734 25.824 46.734 37.632555555555555 26.85923785026076 520.8992271636763 0 1
1519874972.3341653 19.994284876 10.5.5.2 8080 10.5.5.1 34448 1915 1831 48.497 25.824 48.497 38.719 27.075615471758155 449.710909439805 0 2
1519874972.4342313 20.051192336 10.5.5.2 8080 10.5.5.1 34448 1832 1831 35.808 25.824 48.497 38.45436363636364 27.162939317040575 325.990460443538 0 2
1519874972.5343778 20.127184306 10.5.5.2 8080 10.5.5.1 34448 1845 1831 37.005 25.824 48.497 38.33358333333333 27.261359923870167 437.2345112692211 0 2
1519874972.6346362 20.216128946 10.5.5.2 8080 10.5.5.1 34448 1862 1831 37.38 25.824 48.497 38.260230769230766 27.362546324631463 509.53800666270325 463.2601717645223 2
1519874972.7346714 20.309567175 10.5.5.2 8080 10.5.5.1 34448 1879 1831 37.446 25.824 48.497 38.20207142857142 27.463380861385147 531.5185555254088 463.2601717645223 2
1519874972.8347108 20.393275359 10.5.5.2 8080 10.5.5.1 34448 1894 1831 37.67 25.824 48.497 38.166599999999995 27.565447052771294 484.5990700296476 463.2601717645223 2
1519874972.9348729 20.480707628 10.5.5.2 8080 10.5.5.1 34448 1909 1831 37.753 25.824 48.497 38.14075 27.66732258224358 504.8236379630097 463.2601717645223 2
1519874973.0351307 20.56417986 10.5.5.2 8080 10.5.5.1 34448 1924 1831 37.947 25.824 48.497 38.12935294117647 27.770119356421148 478.3440772178677 463.2601717645223 2
1519874973.1353166 20.646126885 10.5.5.2 8080 10.5.5.1 34448 1938 1831 38.157 25.824 48.497 38.13088888888889 27.873988162856936 478.6878574975369 463.2601717645223 2
1519874973.2353287 20.724820612 10.5.5.2 8080 10.5.5.1 34448 1951 1831 38.641 25.824 48.497 38.15773684210526 27.981658281228366 453.458894809157 463.2601717645223 2
1519874973.3356018 20.804777002 10.5.5.2 8080 10.5.5.1 34448 1964 1831 38.911 25.824 48.497 38.19539999999999 28.09095169841608 467.87408463821043 463.2601717645223 2
1519874973.4358096 20.886976092 10.5.5.2 8080 10.5.5.1 34448 1978 1831 38.611 25.824 48.497 38.21519047619047 28.19615218143192 476.6178811923997 463.2601717645223 2
1519874973.5361178 20.967923944 10.5.5.2 8080 10.5.5.1 34448 1991 1831 39.259 25.824 48.497 38.26263636363636 28.306780659617598 469.67383983978056 463.2601717645223 2
1519874973.6363978 21.045143829 10.5.5.2 8080 10.5.5.1 34448 2003 1831 39.348 25.824 48.497 38.30982608695651 28.417192853021422 452.2470979979791 463.2601717645223 2
1519874973.7364657 21.128087352 10.5.5.2 8080 10.5.5.1 34448 2016 1831 38.708 25.824 48.497 38.32641666666666 28.52010092449121 489.67093903548835 463.2601717645223 2
