#TCPLOG
#VERSION: 2
#DATE: 2018-02-28 19:49:36
#TIMESTAMP: 1519843776.8312593
#RESOLUTION: 0.1s
#FORMAT: absoluteTimestamp relativeTimestamp srcIp srcPort dstIp dstPort cwnd sst rtt minRtt maxRtt avgRtt meanRtt throughput smoothedThroughput assumedLosses
#END_HEADER

1519843796.0353231 18.804868758 10.5.5.2 8080 10.5.5.1 34334 10 2147483647 26.042 _ _ _ _ _ _ _
1519843796.0372458 18.952031308 10.5.5.2 8080 10.5.5.1 34336 10 2147483647 25.987 _ _ _ _ _ _ _
1519843796.1374326 19.181577622 10.5.5.2 8080 10.5.5.1 34336 2007 1986 34.773 25.987 34.773 30.380000000000003 26.074859999999997 510.82676891785616 0 1
1519843796.2376144 19.279256395 10.5.5.2 8080 10.5.5.1 34336 2221 1986 46.081 25.987 46.081 35.61366666666667 26.274921399999997 515.1305998026621 0 1
1519843796.3377783 19.3617254 10.5.5.2 8080 10.5.5.1 34336 2435 1986 44.354 25.987 46.081 37.79875 26.455712185999996 520.4268298716074 0 1
1519843796.4378805 19.442410974 10.5.5.2 8080 10.5.5.1 34336 2648 1986 47.075 25.987 47.075 39.653999999999996 26.661905064139994 519.9378152885802 0 1
1519843796.5381312 19.519369919 10.5.5.2 8080 10.5.5.1 34336 2252 1945 48.577 25.987 48.577 41.14116666666666 26.881056013498593 439.2066567756431 0 2
1519843796.6383219 19.576642946 10.5.5.2 8080 10.5.5.1 34336 1945 1945 36.644 25.987 48.577 40.498714285714286 26.978685453363607 320.95996354362137 0 2
1519843796.738594 19.651311342 10.5.5.2 8080 10.5.5.1 34336 1958 1945 38.345 25.987 48.577 40.2295 27.09234859882997 447.083932987265 0 2
1519843796.8387806 19.734772581 10.5.5.2 8080 10.5.5.1 34336 1974 1945 37.686 25.987 48.577 39.946888888888886 27.198285112841674 499.49680698959816 0 2
1519843796.9387884 19.812456118 10.5.5.2 8080 10.5.5.1 34336 1989 1945 38.043 25.987 48.577 39.7565 27.306732261713258 463.9031433801789 0 2
1519843797.0389175 19.89071226 10.5.5.2 8080 10.5.5.1 34336 2004 1945 38.104 25.987 48.577 39.606272727272724 27.414704939096122 471.32355166931126 0 2
1519843797.139172 19.973094719 10.5.5.2 8080 10.5.5.1 34336 2019 1945 38.635 25.987 48.577 39.52533333333333 27.52690788970516 496.3851626753421 510.61732932862867 2
1519843797.239447 20.050632913 10.5.5.2 8080 10.5.5.1 34336 2033 1945 38.213 25.987 48.577 39.42438461538461 27.63376881080811 473.063687182394 510.61732932862867 2
1519843797.339583 20.134029733 10.5.5.2 8080 10.5.5.1 34336 2048 1945 38.729 25.987 48.577 39.37471428571428 27.744721122700028 504.9558536777143 510.61732932862867 2
1519843797.4397063 20.215987078 10.5.5.2 8080 10.5.5.1 34336 2063 1945 38.705 25.987 48.577 39.33006666666667 27.854323911473028 499.8120047137264 510.61732932862867 2
1519843797.5398028 20.297199241 10.5.5.2 8080 10.5.5.1 34336 2077 1945 39.396 25.987 48.577 39.3341875 27.9697406723583 489.5309780682411 510.61732932862867 2
1519843797.6399717 20.377403754 10.5.5.2 8080 10.5.5.1 34336 2091 1945 38.972 25.987 48.577 39.31288235294117 28.079763265634718 494.3807762821352 510.61732932862867 2
1519843797.7400017 20.461332562 10.5.5.2 8080 10.5.5.1 34336 2105 1945 38.857 25.987 48.577 39.28755555555555 28.18753563297837 515.9127080124703 510.61732932862867 2
