#TCPLOG
#VERSION: 2
#DATE: 2018-03-01 02:03:11
#TIMESTAMP: 1519866191.457986
#RESOLUTION: 0.1s
#FORMAT: absoluteTimestamp relativeTimestamp srcIp srcPort dstIp dstPort cwnd sst rtt minRtt maxRtt avgRtt meanRtt throughput smoothedThroughput assumedLosses
#END_HEADER

1519866210.729735 19.082892636 10.5.5.2 8080 10.5.5.1 34402 10 2147483647 0.15 _ _ _ _ _ _ _
1519866210.7310202 19.127692482 10.5.5.2 8080 10.5.5.1 34404 10 2147483647 0.99 _ _ _ _ _ _ _
1519866210.8312201 19.270540422 10.5.5.2 8080 10.5.5.1 34404 225 168 4.092 0.99 4.092 2.541 1.02102 432.9551588918526 0 1
1519866210.9314423 19.353491024 10.5.5.2 8080 10.5.5.1 34404 458 343 6.68 0.99 6.68 3.920666666666667 1.0776098 566.9359742652285 0 1
1519866211.0315912 19.430445065 10.5.5.2 8080 10.5.5.1 34404 712 534 9.564 0.99 9.564 5.3315 1.162473702 614.195762736213 0 1
1519866211.1318483 19.499154198 10.5.5.2 8080 10.5.5.1 34404 951 712 12.526 0.99 12.526 6.7704 1.27610896498 582.3360745701995 0 1
1519866211.232033 19.565397954 10.5.5.2 8080 10.5.5.1 34404 1190 892 15.305 0.99 15.305 8.192833333333335 1.4163978753301998 577.5541785374281 0 1
1519866211.332199 19.625314414 10.5.5.2 8080 10.5.5.1 34404 1409 1056 17.941 0.99 17.941 9.58542857142857 1.5816438965768977 536.0281516764217 0 1
1519866211.432419 19.690533967 10.5.5.2 8080 10.5.5.1 34404 1650 1237 20.859 0.99 20.859 10.994625 1.774417457611129 582.5521891872783 0 1
1519866211.5326812 19.752753763 10.5.5.2 8080 10.5.5.1 34404 1554 1292 23.162 0.99 23.162 12.346555555555556 1.9882932830350175 530.6619098348465 0 1
1519866211.632827 19.803750843 10.5.5.2 8080 10.5.5.1 34404 1293 1292 16.93 0.99 23.162 12.8049 2.1377103502046673 405.65936048955103 0 1
1519866211.7329147 19.8670134 10.5.5.2 8080 10.5.5.1 34404 1303 1292 17.156 0.99 23.162 13.200454545454546 2.2878932467026205 546.864713165856 0 1
1519866211.8331814 19.927960502 10.5.5.2 8080 10.5.5.1 34404 1311 1292 17.282 0.99 23.162 13.540583333333336 2.4378343142355945 525.0924046927231 0 1
1519866211.9332654 19.992182002 10.5.5.2 8080 10.5.5.1 34404 1320 1292 17.431 0.99 23.162 13.839846153846157 2.587765971093239 557.3010970807298 0 1
1519866212.033452 20.056358835 10.5.5.2 8080 10.5.5.1 34404 1329 1292 17.472 0.99 23.162 14.099285714285717 2.7366083113823065 556.7308161238229 0 1
1519866212.1337106 20.128315937 10.5.5.2 8080 10.5.5.1 34404 1340 1292 17.672 0.99 23.162 14.33746666666667 2.8859622282684834 618.723251026194 764.3570577705481 1
1519866212.233895 20.197099787 10.5.5.2 8080 10.5.5.1 34404 1349 1292 17.774 0.99 23.162 14.552250000000003 3.0348426059857987 598.3683657195077 764.3570577705481 1
1519866212.3339326 20.263472717 10.5.5.2 8080 10.5.5.1 34404 1358 1292 17.916 0.99 23.162 14.750117647058826 3.1836541799259406 573.1926242008827 764.3570577705481 1
1519866212.434035 20.32548216 10.5.5.2 8080 10.5.5.1 34404 1367 1292 17.963 0.99 23.162 14.928611111111113 3.331447638126681 541.5764923271566 764.3570577705481 1
1519866212.53415 20.389404708 10.5.5.2 8080 10.5.5.1 34404 1376 1292 18.12 0.99 23.162 15.096578947368423 3.4793331617454144 551.9230687542151 764.3570577705481 1
1519866212.634171 20.454598814 10.5.5.2 8080 10.5.5.1 34404 1384 1292 18.157 0.99 23.162 15.249600000000001 3.6261098301279606 568.0752004416486 764.3570577705481 1
1519866212.7344422 20.519148949 10.5.5.2 8080 10.5.5.1 34404 1393 1292 18.27 0.99 23.162 15.393428571428572 3.772548731826681 556.2608815597954 764.3570577705481 1
1519866212.8347445 20.583843106 10.5.5.2 8080 10.5.5.1 34404 1401 1292 18.419 0.99 23.162 15.530954545454545 3.9190132445084145 561.2860846140462 764.3570577705481 1
1519866212.9349325 20.648870274 10.5.5.2 8080 10.5.5.1 34404 1409 1292 18.477 0.99 23.162 15.659043478260868 4.0645931120633305 566.4351662082486 764.3570577705481 1
1519866213.035029 20.706716083 10.5.5.2 8080 10.5.5.1 34404 1417 1292 18.579 0.99 23.162 15.780708333333331 4.209737180942697 500.64090097475435 764.3570577705481 1
1519866213.135172 20.766722495 10.5.5.2 8080 10.5.5.1 34404 1424 1292 18.706 0.99 23.162 15.89772 4.35469980913327 520.535863895436 764.3570577705481 1
1519866213.2352054 20.829688272 10.5.5.2 8080 10.5.5.1 34404 1432 1292 18.811 0.99 23.162 16.00976923076923 4.4992628110419375 547.1605827323624 764.3570577705481 1
1519866213.33541 20.892170176 10.5.5.2 8080 10.5.5.1 34404 1439 1292 18.963 0.99 23.162 16.11914814814815 4.643900182931518 541.0236910042375 764.3570577705481 1
1519866213.4355342 20.953324887 10.5.5.2 8080 10.5.5.1 34404 1447 1292 18.942 0.99 23.162 16.219964285714287 4.786881181102204 536.2527992060026 764.3570577705481 1
1519866213.5356948 21.013774484 10.5.5.2 8080 10.5.5.1 34404 1454 1292 19.081 0.99 23.162 16.318620689655173 4.929822369291181 525.6486148694609 764.3570577705481 1
1519866213.6359777 21.07605281 10.5.5.2 8080 10.5.5.1 34404 1461 1292 19.204 0.99 23.162 16.4148 5.07256414559827 540.6017970469096 764.3570577705481 1
1519866213.7359965 21.134970464 10.5.5.2 8080 10.5.5.1 34404 1468 1292 19.359 0.99 23.162 16.509774193548388 5.215428504142288 510.7586853530198 869.4433855161129 1
1519866213.8362937 21.198512626 10.5.5.2 8080 10.5.5.1 34404 1476 1292 19.335 0.99 23.162 16.5980625 5.356624219100865 550.9193981290158 869.4433855161129 1
1519866213.936429 21.260656502 10.5.5.2 8080 10.5.5.1 34404 1483 1292 19.431 0.99 23.162 16.683909090909093 5.497367976909856 544.5219980617812 869.4433855161129 1
1519866214.0367305 21.323360711 10.5.5.2 8080 10.5.5.1 34404 1489 1292 19.487 0.99 23.162 16.76635294117647 5.637264297140757 542.5804176045068 869.4433855161129 1
1519866214.1368663 21.383143749 10.5.5.2 8080 10.5.5.1 34404 1496 1292 19.536 0.99 23.162 16.84548571428572 5.77625165416935 520.5730450285714 869.4433855161129 1
1519866214.2371738 21.445568336 10.5.5.2 8080 10.5.5.1 34404 1503 1292 19.747 0.99 23.162 16.926083333333334 5.915959137627657 545.6662693896178 869.4433855161129 1
1519866214.3374655 21.511315146 10.5.5.2 8080 10.5.5.1 34404 1510 1292 19.78 0.99 23.162 17.003216216216217 6.05459954625138 571.7400685675163 869.4433855161129 1
1519866214.4376807 21.590269336 10.5.5.2 8080 10.5.5.1 34404 1518 1292 19.965 0.99 23.162 17.081157894736844 6.193703550788866 686.6120341820414 869.4433855161129 1
1519866214.5379808 21.688954665 10.5.5.2 8080 10.5.5.1 34404 1528 1292 20.103 0.99 23.162 17.158641025641025 6.332796515280978 857.5387523914341 869.4433855161129 1
1519866214.638182 21.788350646 10.5.5.2 8080 10.5.5.1 34404 1539 1292 20.17 0.99 23.162 17.233925 6.4711685501281675 868.7902030176504 869.4433855161129 1
1519866214.7384057 21.890038271 10.5.5.2 8080 10.5.5.1 34404 1549 1292 20.356 0.99 23.162 17.310073170731705 6.610016864626886 884.1973460231368 869.4433855161129 1
1519866214.8387074 21.995253753 10.5.5.2 8080 10.5.5.1 34404 1559 1292 20.314 0.99 23.162 17.381595238095237 6.747056695980618 914.6927826390552 869.4433855161129 1
1519866214.9387279 22.095927863 10.5.5.2 8080 10.5.5.1 34404 1569 1292 20.405 0.99 23.162 17.451906976744183 6.883636129020811 880.783444162511 869.4433855161129 1
1519866215.0389867 22.205346875 10.5.5.2 8080 10.5.5.1 34404 1579 1292 20.426 0.99 23.162 17.519499999999997 7.019059767730602 961.8783969865593 873.6892091318691 1
1519866215.1390102 22.307878814 10.5.5.2 8080 10.5.5.1 34404 1588 1292 20.402 0.99 23.162 17.583555555555556 7.152889170053296 906.8140255068898 873.6892091318691 1
1519866215.2390463 22.409276634 10.5.5.2 8080 10.5.5.1 34404 1597 1292 20.609 0.99 23.162 17.649326086956524 7.287450278352763 891.0667305545043 873.6892091318691 1
1519866215.3391829 22.500475776 10.5.5.2 8080 10.5.5.1 34404 1605 1292 20.755 0.99 23.162 17.71540425531915 7.422125775569236 812.0881496149314 873.6892091318691 1
1519866215.4393692 22.600635368 10.5.5.2 8080 10.5.5.1 34404 1613 1292 20.748 0.99 23.162 17.778583333333334 7.555384517813544 888.2276858146649 873.6892091318691 1
1519866215.5396109 22.688831517 10.5.5.2 8080 10.5.5.1 34404 1620 1292 20.89 0.99 23.162 17.842081632653063 7.688730672635408 781.1905665043621 873.6892091318691 1
1519866215.639623 22.784537368 10.5.5.2 8080 10.5.5.1 34404 1628 1292 20.963 0.99 23.162 17.9045 7.821473365909054 844.7192132421922 873.6892091318691 1
1519866215.739752 22.882476237 10.5.5.2 8080 10.5.5.1 34404 1636 1292 21.071 0.99 23.162 17.966588235294118 7.953968632249963 869.4149461941272 873.6892091318691 1
1519866215.8400571 23.00366351 10.5.5.2 8080 10.5.5.1 34404 1645 1292 21.244 0.99 23.162 18.029615384615386 8.086868945927463 1070.5706984828503 873.6892091318691 1
1519866215.94027 23.107377325 10.5.5.2 8080 10.5.5.1 34404 1653 1292 21.339 0.99 23.162 18.09205660377359 8.21939025646819 920.7062227721061 873.6892091318691 1
1519866216.040416 23.207331689 10.5.5.2 8080 10.5.5.1 34404 1661 1292 21.348 0.99 23.162 18.152351851851854 8.350676353903507 884.8835813247691 886.5015792544735 1
1519866216.1406121 23.310989594 10.5.5.2 8080 10.5.5.1 34404 1668 1292 21.519 0.99 23.162 18.213563636363638 8.482359590364473 920.8595814289012 886.5015792544735 1
1519866216.2408571 23.411521642 10.5.5.2 8080 10.5.5.1 34404 1675 1292 21.639 0.99 23.162 18.274732142857143 8.613925994460828 889.2102443990124 886.5015792544735 1
1519866216.3408654 23.509645057 10.5.5.2 8080 10.5.5.1 34404 1682 1292 21.651 0.99 23.162 18.333964912280702 8.744296734516219 870.465792814752 886.5015792544735 1
1519866216.4409802 23.61106961 10.5.5.2 8080 10.5.5.1 34404 1688 1292 21.715 0.99 23.162 18.392258620689656 8.874003767171057 900.7801027781059 886.5015792544735 1
1519866216.5410597 23.720250948 10.5.5.2 8080 10.5.5.1 34404 1695 1292 21.833 0.99 23.162 18.450576271186442 9.003593729499347 968.8102428419778 886.5015792544735 1
1519866216.6411521 23.831705594 10.5.5.2 8080 10.5.5.1 34404 1702 1292 21.953 0.99 23.162 18.508950000000002 9.133087792204353 989.5175765041041 886.5015792544735 1
