#TCPLOG
#VERSION: 2
#DATE: 2018-03-01 05:58:41
#TIMESTAMP: 1519880321.0760179
#RESOLUTION: 0.1s
#FORMAT: absoluteTimestamp relativeTimestamp srcIp srcPort dstIp dstPort cwnd sst rtt minRtt maxRtt avgRtt meanRtt throughput smoothedThroughput assumedLosses
#END_HEADER

1519880341.1328862 19.884288076 10.5.3.2 8080 10.5.3.1 46778 10 2147483647 0.129 _ _ _ _ _ _ _
1519880341.1345162 19.927856289 10.5.3.2 8080 10.5.3.1 46782 10 2147483647 0.095 _ _ _ _ _ _ _
1519880341.2345953 19.98279536 10.5.3.2 8080 10.5.3.1 46782 92 69 0.98 0.095 0.98 0.5375 0.10385 147.00058192671085 0 1
1519880341.3347287 19.998282938 10.5.3.2 8080 10.5.3.1 46782 156 117 1.533 0.095 1.533 0.8693333333333332 0.1181415 150.96977757679946 0 1
1519880341.434769 20.013804507 10.5.3.2 8080 10.5.3.1 46782 219 163 2.371 0.095 2.371 1.2447499999999998 0.140670085 156.32116299991182 0 1
1519880341.5348005 20.029073727 10.5.3.2 8080 10.5.3.1 46782 281 210 3.025 0.095 3.025 1.6008 0.16951338415 151.12342338213807 0 1
1519880341.6349099 20.04478893 10.5.3.2 8080 10.5.3.1 46782 345 258 3.842 0.095 3.842 1.9743333333333333 0.20623825030850002 151.0060918111215 0 1
1519880341.735057 20.060432757 10.5.3.2 8080 10.5.3.1 46782 408 306 4.479 0.095 4.479 2.332142857142857 0.24896586780541502 156.15406732944805 0 1
1519880341.8353288 20.076895651 10.5.3.2 8080 10.5.3.1 46782 475 355 5.361 0.095 5.361 2.71075 0.3000862091273609 161.15892827049004 0 1
1519880341.935563 20.094775906 10.5.3.2 8080 10.5.3.1 46782 548 411 6.143 0.095 6.143 3.092111111111111 0.3585153470360873 176.82096136437264 0 1
1519880342.0357285 20.112975181 10.5.3.2 8080 10.5.3.1 46782 622 466 6.985 0.095 6.985 3.4814 0.42478019356572644 182.14678908893563 0 1
1519880342.1358473 20.131276017 10.5.3.2 8080 10.5.3.1 46782 696 522 7.828 0.095 7.828 3.8765454545454547 0.4988123916300692 177.02476092406096 0 1
1519880342.2359865 20.149559171 10.5.3.2 8080 10.5.3.1 46782 770 577 8.716 0.095 8.716 4.279833333333333 0.5809842677137684 182.19449261024633 0 1
1519880342.3360996 20.167848572 10.5.3.2 8080 10.5.3.1 46782 845 633 9.608 0.095 9.608 4.689692307692308 0.6712544250366308 182.24178711660971 0 1
1519880342.4361503 20.186200939 10.5.3.2 8080 10.5.3.1 46782 919 688 10.563 0.095 10.563 5.109214285714287 0.7701718807862645 177.14540890728549 0 1
1519880342.5361805 20.214527174 10.5.3.2 8080 10.5.3.1 46782 1034 775 11.869 0.095 11.869 5.559866666666667 0.8811601619784019 281.4062609192076 0 1
1519880342.6362705 20.339975581 10.5.3.2 8080 10.5.3.1 46782 1544 1158 17.8 0.095 17.8 6.3248750000000005 1.0503485603586178 1239.530489677567 0 1
1519880342.7363758 20.443221976 10.5.3.2 8080 10.5.3.1 46782 1964 1473 22.753 0.095 22.753 7.291235294117648 1.2673750747550316 1020.6342186845515 0 1
1519880342.8366234 20.567104202 10.5.3.2 8080 10.5.3.1 46782 1414 1405 17.058 0.095 22.753 7.8338333333333345 1.4252813240074813 1097.183936281438 0 2
1519880342.9367325 20.667114687 10.5.3.2 8080 10.5.3.1 46782 1429 1405 17.303 0.095 22.753 8.33221052631579 1.5840585107674066 942.4885417795222 0 2
1519880343.036752 20.77654797 10.5.3.2 8080 10.5.3.1 46782 1446 1405 17.511 0.095 22.753 8.79115 1.7433279256597323 1031.9336377642594 0 2
1519880343.1369052 20.889612013 10.5.3.2 8080 10.5.3.1 46782 1463 1405 17.842 0.095 22.753 9.222142857142858 1.9043146464031349 1066.9892894082695 0 2
1519880343.2370622 20.994823052 10.5.3.2 8080 10.5.3.1 46782 1478 1405 17.887 0.095 22.753 9.616000000000001 2.0641414999391037 988.8792373349456 921.5375343421077 2
1519880343.3372386 21.10024801 10.5.3.2 8080 10.5.3.1 46782 1493 1405 18.092 0.095 22.753 9.984521739130434 2.2244200849397124 993.8922262939286 921.5375343421077 2
1519880343.4374566 21.198399597 10.5.3.2 8080 10.5.3.1 46782 1507 1405 18.325 0.095 22.753 10.332041666666667 2.3854258840903153 920.6580348862007 921.5375343421077 2
1519880343.5376906 21.301852799 10.5.3.2 8080 10.5.3.1 46782 1521 1405 18.449 0.095 22.753 10.65672 2.546061625249412 977.7182296284597 921.5375343421077 2
1519880343.6377015 21.390086295 10.5.3.2 8080 10.5.3.1 46782 1533 1405 18.53 0.095 22.753 10.959538461538461 2.7059010089969178 828.7450997675195 921.5375343421077 2
1519880343.7377663 21.484509814 10.5.3.2 8080 10.5.3.1 46782 1546 1405 18.718 0.095 22.753 11.246888888888888 2.8660219989069486 890.8119592937845 921.5375343421077 2
1519880343.8378477 21.573687373 10.5.3.2 8080 10.5.3.1 46782 1557 1405 18.916 0.095 22.753 11.520785714285713 3.0265217789178793 838.5778304611075 921.5375343421077 2
1519880343.9379568 21.66340804 10.5.3.2 8080 10.5.3.1 46782 1569 1405 19.119 0.095 22.753 11.782793103448277 3.187446561128701 848.7603995031056 921.5375343421077 2
1519880344.037973 21.752603955 10.5.3.2 8080 10.5.3.1 46782 1580 1405 19.251 0.095 22.753 12.031733333333333 3.3480820955174138 839.1255573288072 921.5375343421077 2
1519880344.138078 21.846282964 10.5.3.2 8080 10.5.3.1 46782 1592 1405 19.256 0.095 22.753 12.264774193548385 3.5071612745622396 880.0387437124259 921.5375343421077 2
1519880344.2382495 21.932280115 10.5.3.2 8080 10.5.3.1 46782 1602 1405 19.464 0.095 22.753 12.489749999999999 3.666729661816617 811.8040202373437 921.5375343421077 2
