#TCPLOG
#VERSION: 2
#DATE: 2018-03-01 02:48:15
#TIMESTAMP: 1519868895.5948203
#RESOLUTION: 0.1s
#FORMAT: absoluteTimestamp relativeTimestamp srcIp srcPort dstIp dstPort cwnd sst rtt minRtt maxRtt avgRtt meanRtt throughput smoothedThroughput assumedLosses
#END_HEADER

1519868914.7654865 18.981054884 10.5.5.2 8080 10.5.5.1 34414 10 2147483647 0.395 _ _ _ _ _ _ _
1519868914.7668417 19.025347042 10.5.5.2 8080 10.5.5.1 34416 10 2147483647 0.491 _ _ _ _ _ _ _
1519868914.8670382 19.107702318 10.5.5.2 8080 10.5.5.1 34416 75 55 2.131 0.491 2.131 1.311 0.5074 146.828135942987 0 1
1519868914.9672492 19.18165172 10.5.5.2 8080 10.5.5.1 34416 245 183 3.637 0.491 3.637 2.0863333333333336 0.538696 410.9444971996717 0 1
1519868915.0672512 19.255086143 10.5.5.2 8080 10.5.5.1 34416 479 358 6.377 0.491 6.377 3.159 0.5970790399999999 568.18354996574 0 1
1519868915.1674972 19.322525007 10.5.5.2 8080 10.5.5.1 34416 715 535 9.132 0.491 9.132 4.3536 0.6824282495999998 572.0011482683334 0 1
1519868915.2676833 19.385743841 10.5.5.2 8080 10.5.5.1 34416 945 708 11.877 0.491 11.877 5.607500000000001 0.7943739671039999 556.7334658917543 0 1
1519868915.367972 19.45221294 10.5.5.2 8080 10.5.5.1 34416 1191 892 14.86 0.491 14.86 6.929285714285714 0.9350302274329598 602.9445240428774 0 1
1519868915.4682214 19.518664163 10.5.5.2 8080 10.5.5.1 34416 1442 1081 17.675 0.491 17.675 8.2725 1.1024299251586303 608.3795173744105 0 1
1519868915.568308 19.587436614 10.5.5.2 8080 10.5.5.1 34416 1708 1281 20.766 0.491 20.766 9.660666666666666 1.2990656259070439 645.5958594353611 0 1
1519868915.6684844 19.654333757 10.5.5.2 8080 10.5.5.1 34416 1482 1334 23.152 0.491 23.152 11.0098 1.5175949696479734 571.3579395134732 0 1
1519868915.7685847 19.710049821 10.5.5.2 8080 10.5.5.1 34416 1335 1334 17.03 0.491 23.152 11.55709090909091 1.6727190199514936 475.1625524360213 0 1
1519868915.8687935 19.777813873 10.5.5.2 8080 10.5.5.1 34416 1346 1334 17.215 0.491 23.152 12.028583333333332 1.8281418297519787 603.4250939504075 0 1
1519868915.9688437 19.849549473 10.5.5.2 8080 10.5.5.1 34416 1357 1334 17.251 0.491 23.152 12.430307692307691 1.982370411454459 646.0628057098329 0 1
1519868916.0689836 19.918234891 10.5.5.2 8080 10.5.5.1 34416 1367 1334 17.481 0.491 23.152 12.791071428571428 2.1373567073399142 614.2513305798575 0 1
1519868916.1690042 19.985380413 10.5.5.2 8080 10.5.5.1 34416 1377 1334 17.537 0.491 23.152 13.107466666666665 2.2913531402665153 599.348252272971 0 1
1519868916.269011 20.051859377 10.5.5.2 8080 10.5.5.1 34416 1387 1334 17.699 0.491 23.152 13.3944375 2.44542960886385 599.4311261620325 801.9552536599575 1
1519868916.36932 20.118635836 10.5.5.2 8080 10.5.5.1 34416 1396 1334 17.789 0.491 23.152 13.65294117647059 2.5988653127752115 597.6259626189016 801.9552536599575 1
1519868916.4694004 20.184575644 10.5.5.2 8080 10.5.5.1 34416 1405 1334 17.898 0.491 23.152 13.88877777777778 2.7518566596474594 588.5726572072192 801.9552536599575 1
1519868916.5696754 20.251746292 10.5.5.2 8080 10.5.5.1 34416 1415 1334 18.087 0.491 23.152 14.109736842105265 2.9052080930509847 597.8277365491791 801.9552536599575 1
1519868916.6698697 20.308713078 10.5.5.2 8080 10.5.5.1 34416 1422 1334 18.071 0.491 23.152 14.307800000000004 3.0568660121204747 509.86416336603645 801.9552536599575 1
1519868916.7698908 20.364681248 10.5.5.2 8080 10.5.5.1 34416 1430 1334 18.236 0.491 23.152 14.494857142857146 3.20865735199927 500.3231123155805 801.9552536599575 1
1519868916.8701289 20.42064817 10.5.5.2 8080 10.5.5.1 34416 1437 1334 18.244 0.491 23.152 14.66527272727273 3.359010778479277 504.44060363257523 801.9552536599575 1
1519868916.9702334 20.47616362 10.5.5.2 8080 10.5.5.1 34416 1445 1334 18.399 0.491 23.152 14.827608695652177 3.5094106706944843 499.9060463037757 801.9552536599575 1
1519868917.070528 20.5383198 10.5.5.2 8080 10.5.5.1 34416 1453 1334 18.482 0.491 23.152 14.979875000000002 3.6591365639875395 556.1312928447747 801.9552536599575 1
1519868917.1707375 20.602830852 10.5.5.2 8080 10.5.5.1 34416 1461 1334 18.515 0.491 23.152 15.121280000000002 3.8076951983476643 577.4112702614505 801.9552536599575 1
1519868917.2708888 20.668279522 10.5.5.2 8080 10.5.5.1 34416 1469 1334 18.619 0.491 23.152 15.255807692307695 3.9558082463641875 588.1565166594694 801.9552536599575 1
1519868917.3711734 20.734767544 10.5.5.2 8080 10.5.5.1 34416 1478 1334 18.731 0.491 23.152 15.38451851851852 4.1035601639005455 597.77088503937 801.9552536599575 1
1519868917.4713194 20.798933135 10.5.5.2 8080 10.5.5.1 34416 1486 1334 18.916 0.491 23.152 15.510642857142859 4.2516845622615405 577.7769266297022 801.9552536599575 1
1519868917.571478 20.856422682 10.5.5.2 8080 10.5.5.1 34416 1493 1334 18.941 0.491 23.152 15.62893103448276 4.398577716638925 515.2507697613158 801.9552536599575 1
1519868917.6717348 20.914663655 10.5.5.2 8080 10.5.5.1 34416 1500 1334 19.049 0.491 23.152 15.742933333333333 4.545081939472535 525.1436017890742 801.9552536599575 1
1519868917.772045 20.976333698 10.5.5.2 8080 10.5.5.1 34416 1508 1334 19.189 0.491 23.152 15.854096774193549 4.69152112007781 550.848688703043 801.9552536599575 1
1519868917.8722394 21.038805438 10.5.5.2 8080 10.5.5.1 34416 1515 1334 19.256 0.491 23.152 15.960406250000002 4.837165908877032 561.8897817586841 801.9552536599575 1
1519868917.9724128 21.102038296 10.5.5.2 8080 10.5.5.1 34416 1523 1334 19.344 0.491 23.152 16.0629393939394 4.982234249788261 567.2112396148115 898.4343362161887 1
1519868918.0726614 21.166498425 10.5.5.2 8080 10.5.5.1 34416 1530 1334 19.389 0.491 23.152 16.160764705882357 5.126301907290379 582.3859329408547 898.4343362161887 1
1519868918.172965 21.229423871 10.5.5.2 8080 10.5.5.1 34416 1537 1334 19.494 0.491 23.152 16.256000000000004 5.269978888217475 561.2780796592378 898.4343362161887 1
1519868918.273102 21.295669005 10.5.5.2 8080 10.5.5.1 34416 1544 1334 19.566 0.491 23.152 16.34794444444445 5.4129390993353 598.6518749748217 898.4343362161887 1
1519868918.3732767 21.404095302 10.5.5.2 8080 10.5.5.1 34416 1557 1334 19.718 0.491 23.152 16.43902702702703 5.555989708341947 973.0939410786765 898.4343362161887 1
1519868918.4733653 21.503546488 10.5.5.2 8080 10.5.5.1 34416 1567 1334 19.953 0.491 23.152 16.531500000000005 5.699959811258528 899.0485958133786 898.4343362161887 1
1519868918.573597 21.597962002 10.5.5.2 8080 10.5.5.1 34416 1577 1334 20.076 0.491 23.152 16.622384615384618 5.843720213145942 844.4866478645487 898.4343362161887 1
1519868918.6736586 21.692979939 10.5.5.2 8080 10.5.5.1 34416 1587 1334 20.143 0.491 23.152 16.710400000000003 5.986713011014483 859.582024319913 898.4343362161887 1
1519868918.7740133 21.786859399 10.5.5.2 8080 10.5.5.1 34416 1597 1334 20.203 0.491 23.152 16.79558536585366 6.128875880904338 841.4890782466892 898.4343362161887 1
1519868918.8740573 21.892336613 10.5.5.2 8080 10.5.5.1 34416 1607 1334 20.45 0.491 23.152 16.88259523809524 6.272087122095295 953.5227349092859 898.4343362161887 1
1519868918.9740937 21.998816356 10.5.5.2 8080 10.5.5.1 34416 1618 1334 20.479 0.491 23.152 16.96623255813954 6.414156250874342 958.8063605963063 898.4343362161887 1
1519868919.074398 22.09949298 10.5.5.2 8080 10.5.5.1 34416 1627 1334 20.634 0.491 23.152 17.049590909090913 6.556354688365598 910.2803039140114 898.4343362161887 1
1519868919.1744022 22.202427515 10.5.5.2 8080 10.5.5.1 34416 1637 1334 20.882 0.491 23.152 17.13475555555556 6.699611141481943 927.0286203310254 901.9691422476575 1
1519868919.2746367 22.305090477 10.5.5.2 8080 10.5.5.1 34416 1646 1334 20.968 0.491 23.152 17.21808695652174 6.842295030067123 920.5069328667455 901.9691422476575 1
1519868919.3748631 22.414030551 10.5.5.2 8080 10.5.5.1 34416 1656 1334 21.035 0.491 23.152 17.29929787234043 6.984222079766452 982.993679869832 901.9691422476575 1
1519868919.4751427 22.518187592 10.5.5.2 8080 10.5.5.1 34416 1665 1334 21.164 0.491 23.152 17.379812500000003 7.126019858968787 935.6881002788854 901.9691422476575 1
1519868919.5754554 22.604149967 10.5.5.2 8080 10.5.5.1 34416 1672 1334 21.216 0.491 23.152 17.45810204081633 7.266919660379099 774.2859319461332 901.9691422476575 1
1519868919.6757524 22.711628098 10.5.5.2 8080 10.5.5.1 34416 1681 1334 21.318 0.491 23.152 17.535300000000003 7.407430463775308 968.5578731776855 901.9691422476575 1
1519868919.7758582 22.809037606 10.5.5.2 8080 10.5.5.1 34416 1689 1334 21.369 0.491 23.152 17.610470588235298 7.547046159137555 878.1809740081644 901.9691422476575 1
1519868919.8760226 22.90975877 10.5.5.2 8080 10.5.5.1 34416 1697 1334 21.572 0.491 23.152 17.68665384615385 7.687295697546179 905.538373100257 901.9691422476575 1
1519868919.9761946 22.997701326 10.5.5.2 8080 10.5.5.1 34416 1704 1334 21.623 0.491 23.152 17.76092452830189 7.826652740570717 796.1886144427731 901.9691422476575 1
1519868920.0764227 23.103607472 10.5.5.2 8080 10.5.5.1 34416 1712 1334 21.704 0.491 23.152 17.833944444444448 7.96542621316501 956.8570445340697 901.9691422476575 1
1519868920.1765585 23.214073829 10.5.5.2 8080 10.5.5.1 34416 1720 1334 21.847 0.491 23.152 17.906909090909092 8.10424195103336 994.4101989034666 902.7686330303774 1
1519868920.276714 23.312771652 10.5.5.2 8080 10.5.5.1 34416 1727 1334 21.907 0.491 23.152 17.978339285714288 8.242269531523027 890.0040252510099 902.7686330303774 1
