#TCPLOG
#VERSION: 2
#DATE: 2018-02-28 20:25:37
#TIMESTAMP: 1519845937.1747825
#RESOLUTION: 0.1s
#FORMAT: absoluteTimestamp relativeTimestamp srcIp srcPort dstIp dstPort cwnd sst rtt minRtt maxRtt avgRtt meanRtt throughput smoothedThroughput assumedLosses
#END_HEADER

1519845956.7895353 19.228415139 10.5.5.2 8080 10.5.5.1 34346 10 2147483647 25.954 _ _ _ _ _ _ _
1519845956.7910008 19.375394192 10.5.5.2 8080 10.5.5.1 34348 10 2147483647 25.924 _ _ _ _ _ _ _
1519845956.8912325 19.617321892 10.5.5.2 8080 10.5.5.1 34348 1996 1968 32.349 25.924 32.349 29.136499999999998 25.988249999999997 520.9998369472266 0 1
1519845956.9913275 19.704243818 10.5.5.2 8080 10.5.5.1 34348 2210 1968 42.569 25.924 42.569 33.614 26.154057499999997 520.7850789535739 0 1
1519845957.091553 19.782966658 10.5.5.2 8080 10.5.5.1 34348 2423 1968 41.747 25.924 42.569 35.64725 26.309986924999997 514.9063507975717 0 1
1519845957.191822 19.86067016 10.5.5.2 8080 10.5.5.1 34348 2637 1977 45.234 25.924 45.234 37.5646 26.499227055749998 519.8811080300267 0 1
1519845957.292073 19.93737318 10.5.5.2 8080 10.5.5.1 34348 2857 2142 47.065 25.924 47.065 39.148 26.704884785192498 535.5743259046382 0 1
1519845957.3920898 20.009089849 10.5.5.2 8080 10.5.5.1 34348 2805 2125 48.624 25.924 48.624 40.501714285714286 26.92407593734057 483.6664275659319 0 2
1519845957.4923909 20.071089543 10.5.5.2 8080 10.5.5.1 34348 2125 2125 42.614 25.924 48.624 40.76575 27.080975177967165 334.8122836293068 0 2
1519845957.592547 20.13427782 10.5.5.2 8080 10.5.5.1 34348 2135 2125 37.24 25.924 48.624 40.373999999999995 27.18256542618749 410.01289778287725 0 2
1519845957.6928117 20.212484808 10.5.5.2 8080 10.5.5.1 34348 2150 2125 37.56 25.924 48.624 40.0926 27.286339771925615 509.5052927865773 0 2
1519845957.7928433 20.287179138 10.5.5.2 8080 10.5.5.1 34348 2165 2125 37.605 25.924 48.624 39.866454545454545 27.38952637420636 495.0594903897627 0 2
1519845957.8930993 20.363663652 10.5.5.2 8080 10.5.5.1 34348 2181 2125 37.857 25.924 48.624 39.699000000000005 27.494201110464296 504.3506329182124 0 2
1519845957.9932032 20.435890729 10.5.5.2 8080 10.5.5.1 34348 2195 2125 38.118 25.924 48.624 39.577384615384624 27.600439099359654 473.8726589195601 550.1243725419168 2
1519845958.0932717 20.516331271 10.5.5.2 8080 10.5.5.1 34348 2211 2125 38.403 25.924 48.624 39.493500000000004 27.70846470836606 531.3412636347261 550.1243725419168 2
1519845958.193564 20.596039794 10.5.5.2 8080 10.5.5.1 34348 2226 2125 38.526 25.924 48.624 39.429 27.816640061282396 524.9588397672208 550.1243725419168 2
1519845958.2936828 20.670987665 10.5.5.2 8080 10.5.5.1 34348 2240 2125 38.737 25.924 48.624 39.38575 27.92584366066957 499.8346190797015 550.1243725419168 2
