#TCPLOG
#VERSION: 2
#DATE: 2018-03-01 05:25:10
#TIMESTAMP: 1519878310.2884047
#RESOLUTION: 0.1s
#FORMAT: absoluteTimestamp relativeTimestamp srcIp srcPort dstIp dstPort cwnd sst rtt minRtt maxRtt avgRtt meanRtt throughput smoothedThroughput assumedLosses
#END_HEADER

1519878330.5445492 20.090922247 10.5.3.2 8080 10.5.3.1 46766 10 2147483647 0.137 _ _ _ _ _ _ _
1519878330.546062 20.135491559 10.5.3.2 8080 10.5.3.1 46768 10 2147483647 0.106 _ _ _ _ _ _ _
1519878330.6460626 20.192650744 10.5.3.2 8080 10.5.3.1 46768 109 81 1.116 0.106 1.116 0.6110000000000001 0.1161 188.81802953911588 0 1
1519878330.7463195 20.21083987 10.5.3.2 8080 10.5.3.1 46768 183 136 1.868 0.106 1.868 1.03 0.133619 176.78101446364872 0 1
1519878330.846454 20.229237529 10.5.3.2 8080 10.5.3.1 46768 257 192 2.762 0.106 2.762 1.463 0.15990280999999998 182.20316866240944 0 1
1519878330.9466534 20.247539346 10.5.3.2 8080 10.5.3.1 46768 332 249 3.673 0.106 3.673 1.905 0.19503378189999998 182.08481184389925 0 1
1519878331.0468848 20.265854802 10.5.3.2 8080 10.5.3.1 46768 406 304 4.588 0.106 4.588 2.3521666666666667 0.23896344408099998 182.02677353098588 0 1
1519878331.1469264 20.284124676 10.5.3.2 8080 10.5.3.1 46768 481 360 5.416 0.106 5.416 2.789857142857143 0.29073380964018997 177.16145143666066 0 1
1519878331.2470386 20.302473809 10.5.3.2 8080 10.5.3.1 46768 555 415 6.305 0.106 6.305 3.22925 0.35087647154378804 182.24352316188813 0 1
1519878331.3472085 20.321083215 10.5.3.2 8080 10.5.3.1 46768 631 472 7.103 0.106 7.103 3.6596666666666664 0.41839770682835015 182.13855191970353 0 1
1519878331.447456 20.340139016 10.5.3.2 8080 10.5.3.1 46768 708 531 8.032 0.106 8.032 4.0969 0.49453372976006665 187.19770448243383 0 1
1519878331.5475695 20.358896652 10.5.3.2 8080 10.5.3.1 46768 784 588 8.979 0.106 8.979 4.540727272727272 0.579378392462466 187.44780250941278 0 1
1519878331.647645 20.375951643 10.5.3.2 8080 10.5.3.1 46768 854 640 9.75 0.106 9.75 4.974833333333333 0.6710846085378414 166.68378154421592 0 1
1519878331.7479007 20.39153288 10.5.3.2 8080 10.5.3.1 46768 917 687 10.501 0.106 10.501 5.399923076923077 0.7693837624524629 155.98510277833927 0 1
1519878331.8481824 20.406995101 10.5.3.2 8080 10.5.3.1 46768 980 735 11.278 0.106 11.278 5.819785714285715 0.8744699248279382 150.7465238378363 0 1
1519878331.9484465 20.435099854 10.5.3.2 8080 10.5.3.1 46768 1094 820 12.55 0.106 12.55 6.268466666666667 0.9912252255796588 275.5507464803656 0 1
1519878332.0484545 20.52144073 10.5.3.2 8080 10.5.3.1 46768 1445 1083 16.672 0.106 16.672 6.9186875 1.1480329733238621 854.8307206713329 0 1
1519878332.148481 20.626017836 10.5.3.2 8080 10.5.3.1 46768 1870 1402 21.619 0.106 21.619 7.783411764705882 1.3527426435906236 1031.862307249494 0 1
1519878332.2486289 20.712685961 10.5.3.2 8080 10.5.3.1 46768 1401 1401 17.28 0.106 21.619 8.311 1.5120152171547174 765.1494651855131 0 1
1519878332.3489072 20.799521477 10.5.3.2 8080 10.5.3.1 46768 1414 1401 17.075 0.106 21.619 8.772263157894736 1.6676450649831702 816.1376561273235 0 1
1519878332.4490185 20.886396327 10.5.3.2 8080 10.5.3.1 46768 1427 1401 17.316 0.106 21.619 9.199449999999999 1.8241286143333384 817.5001628776581 0 1
1519878332.5492618 20.972755103 10.5.3.2 8080 10.5.3.1 46768 1441 1401 17.483 0.106 21.619 9.593904761904762 1.980717328190005 811.2228514207839 0 1
1519878332.649496 21.055992442 10.5.3.2 8080 10.5.3.1 46768 1453 1401 17.648 0.106 21.619 9.959999999999999 2.137390154908105 785.2930931182432 0 1
1519878332.7497575 21.138895129 10.5.3.2 8080 10.5.3.1 46768 1465 1401 17.703 0.106 21.619 10.296652173913042 2.2930462533590235 779.881002570584 922.2489013069755 1
1519878332.8499246 21.245865533 10.5.3.2 8080 10.5.3.1 46768 1481 1401 18.004 0.106 21.619 10.617791666666665 2.450155790825433 1004.3927020385546 922.2489013069755 1
1519878332.949982 21.345851968 10.5.3.2 8080 10.5.3.1 46768 1495 1401 18.111 0.106 21.619 10.91752 2.606764232917179 942.9758759378656 922.2489013069755 1
1519878333.050079 21.447911294 10.5.3.2 8080 10.5.3.1 46768 1509 1401 18.282 0.106 21.619 11.200769230769229 2.763516590588007 963.4317426893231 922.2489013069755 1
1519878333.15019 21.556741585 10.5.3.2 8080 10.5.3.1 46768 1524 1401 18.558 0.106 21.619 11.473259259259258 2.9214614246821267 1025.7829020915653 922.2489013069755 1
1519878333.2502086 21.656154616 10.5.3.2 8080 10.5.3.1 46768 1537 1401 18.668 0.106 21.619 11.730214285714284 3.078926810435305 932.9185981017763 922.2489013069755 1
1519878333.3502262 21.750916209 10.5.3.2 8080 10.5.3.1 46768 1549 1401 18.875 0.106 21.619 11.97658620689655 3.2368875423309524 896.4442954742743 922.2489013069755 1
1519878333.4504068 21.844619022 10.5.3.2 8080 10.5.3.1 46768 1562 1401 18.851 0.106 21.619 12.205733333333333 3.393028666907643 879.3748211783296 922.2489013069755 1
1519878333.5504704 21.94074247 10.5.3.2 8080 10.5.3.1 46768 1574 1401 19.1 0.106 21.619 12.428129032258065 3.5500983802385666 906.4510380271481 922.2489013069755 1
1519878333.650545 22.039454606 10.5.3.2 8080 10.5.3.1 46768 1586 1401 19.227 0.106 21.619 12.640593749999999 3.706867396436181 932.3962883299542 922.2489013069755 1
1519878333.7507932 22.143431195 10.5.3.2 8080 10.5.3.1 46768 1599 1401 19.464 0.106 21.619 12.847363636363635 3.8644387224718195 977.5787123864609 942.8887543794768 1
1519878333.8510664 22.239891852 10.5.3.2 8080 10.5.3.1 46768 1610 1401 19.681 0.106 21.619 13.04835294117647 4.0226043352471015 904.5565636338736 942.8887543794768 1
1519878333.9512506 22.338266752 10.5.3.2 8080 10.5.3.1 46768 1622 1401 19.649 0.106 21.619 13.236942857142855 4.178868291894631 926.1723701719407 942.8887543794768 1
1519878334.051283 22.43748476 10.5.3.2 8080 10.5.3.1 46768 1633 1401 19.863 0.106 21.619 13.421 4.335709608975684 938.0007484915365 942.8887543794768 1
1519878334.1513138 22.535937824 10.5.3.2 8080 10.5.3.1 46768 1644 1401 19.952 0.106 21.619 13.597513513513512 4.4918725128859265 927.5917829711126 942.8887543794768 1
1519878334.2514672 22.64039012 10.5.3.2 8080 10.5.3.1 46768 1656 1401 20.115 0.106 21.619 13.769026315789473 4.6481037877570675 983.7097348173893 942.8887543794768 1
1519878334.351585 22.74005614 10.5.3.2 8080 10.5.3.1 46768 1666 1401 20.313 0.106 21.619 13.936820512820512 4.804752749879497 937.2010698164429 942.8887543794768 1
