#TCPLOG
#VERSION: 2
#DATE: 2018-03-01 00:03:51
#TIMESTAMP: 1519859031.3959856
#RESOLUTION: 0.1s
#FORMAT: absoluteTimestamp relativeTimestamp srcIp srcPort dstIp dstPort cwnd sst rtt minRtt maxRtt avgRtt meanRtt throughput smoothedThroughput assumedLosses
#END_HEADER

1519859050.926928 19.147806112 10.5.5.2 8080 10.5.5.1 34370 10 2147483647 26.038 _ _ _ _ _ _ _
1519859050.9285715 19.295313444 10.5.5.2 8080 10.5.5.1 34372 10 2147483647 25.834 _ _ _ _ _ _ _
1519859051.0285854 19.515749015 10.5.5.2 8080 10.5.5.1 34372 1857 2147483647 30.095 25.834 30.095 27.9645 25.87661 428.31647849676153 0 0
1519859051.1288435 19.610471178 10.5.5.2 8080 10.5.5.1 34372 2168 1957 45.707 25.834 45.707 33.87866666666667 26.074913900000002 535.5361172647694 0 1
1519859051.2290802 19.695686236 10.5.5.2 8080 10.5.5.1 34372 2387 1957 42.665 25.834 45.707 36.07525 26.240814761 530.4502667319342 0 1
1519859051.3291116 19.771873333 10.5.5.2 8080 10.5.5.1 34372 2591 1957 45.183 25.834 45.707 37.8968 26.43023661339 495.0606703333476 0 1
1519859051.4293826 19.849326736 10.5.5.2 8080 10.5.5.1 34372 2805 2103 47.482 25.834 47.482 39.49433333333333 26.6407542472561 519.8712188830792 0 1
1519859051.529647 19.923014148 10.5.5.2 8080 10.5.5.1 34372 2288 2046 48.474 25.834 48.474 40.777142857142856 26.85908670478354 432.09848667104194 0 2
1519859051.6297216 19.977277442 10.5.5.2 8080 10.5.5.1 34372 2046 2046 38.761 25.834 48.474 40.525125 26.978105837735704 316.12343431770387 0 2
1519859051.7300189 20.04272772 10.5.5.2 8080 10.5.5.1 34372 2057 2046 36.689 25.834 48.474 40.098888888888894 27.075214779358348 416.82769556553836 0 2
1519859051.8302312 20.12441568 10.5.5.2 8080 10.5.5.1 34372 2073 2046 37.636 25.834 48.474 39.85260000000001 27.180822631564766 514.9737275151134 0 2
1519859051.9305062 20.203156844 10.5.5.2 8080 10.5.5.1 34372 2089 2046 38.277 25.834 48.474 39.70936363636364 27.291784405249118 493.8576954101915 0 2
1519859052.0307217 20.285334786 10.5.5.2 8080 10.5.5.1 34372 2105 2046 38.74 25.834 48.474 39.62858333333334 27.406266561196627 514.9578005178738 0 2
1519859052.1308405 20.359015377 10.5.5.2 8080 10.5.5.1 34372 2119 2046 37.771 25.834 48.474 39.48569230769231 27.50991389558466 468.5949553872202 533.7647459177847 2
1519859052.2311096 20.4342505 10.5.5.2 8080 10.5.5.1 34372 2133 2046 38.729 25.834 48.474 39.43164285714287 27.62210475662881 480.3701438197446 533.7647459177847 2
1519859052.3313966 20.509966848 10.5.5.2 8080 10.5.5.1 34372 2147 2046 37.913 25.834 48.474 39.33040000000001 27.725013709062523 486.5219536738162 533.7647459177847 2
1519859052.4316475 20.583391158 10.5.5.2 8080 10.5.5.1 34372 2161 2046 38.406 25.834 48.474 39.272625000000005 27.8318235719719 473.1773170613794 533.7647459177847 2
1519859052.531839 20.658142746 10.5.5.2 8080 10.5.5.1 34372 2174 2046 38.846 25.834 48.474 39.24752941176471 27.941965336252178 480.16470202722775 533.7647459177847 2
1519859052.6321442 20.736310425 10.5.5.2 8080 10.5.5.1 34372 2189 2046 38.681 25.834 48.474 39.21605555555556 28.049355682889658 507.79807684085273 533.7647459177847 2
1519859052.7322652 20.810529009 10.5.5.2 8080 10.5.5.1 34372 2202 2046 38.55 25.834 48.474 39.181000000000004 28.15436212606076 484.2044096703799 533.7647459177847 2
1519859052.8323698 20.88197961 10.5.5.2 8080 10.5.5.1 34372 2215 2046 38.519 25.834 48.474 39.14790000000001 28.258008504800156 468.66191840978973 533.7647459177847 2
1519859052.9325547 20.953191285 10.5.5.2 8080 10.5.5.1 34372 2227 2046 39.231 25.834 48.474 39.151857142857146 28.36773841975215 468.28605736424515 533.7647459177847 2
1519859053.0326495 21.026940599 10.5.5.2 8080 10.5.5.1 34372 2240 2046 39.025 25.834 48.474 39.14609090909091 28.474311035554628 484.33127706622713 533.7647459177847 2
1519859053.1327047 21.107626919 10.5.5.2 8080 10.5.5.1 34372 2254 2046 39.045 25.834 48.474 39.141695652173915 28.580017925199083 531.4121661962246 533.7647459177847 2
1519859053.2328653 21.189323211 10.5.5.2 8080 10.5.5.1 34372 2267 2046 39.512 25.834 48.474 39.157125 28.68933774594709 536.0574983322225 533.7647459177847 2
1519859053.3330824 21.268037736 10.5.5.2 8080 10.5.5.1 34372 2280 2046 39.696 25.834 48.474 39.17868 28.799404368487618 520.1507321722125 533.7647459177847 2
1519859053.4333014 21.345975851 10.5.5.2 8080 10.5.5.1 34372 2293 2046 40.018 25.834 48.474 39.21096153846154 28.91159032480274 509.73801610985157 533.7647459177847 2
1519859053.5334437 21.425676458 10.5.5.2 8080 10.5.5.1 34372 2306 2046 40.432 25.834 48.474 39.25618518518518 29.026794421554712 525.7449775874408 653.3953215454366 2
1519859053.633533 21.502864286 10.5.5.2 8080 10.5.5.1 34372 2318 2046 40.734 25.834 48.474 39.30896428571428 29.143866477339166 505.19040636638437 653.3953215454366 2
1519859053.733704 21.5788616 10.5.5.2 8080 10.5.5.1 34372 2330 2046 40.569 25.834 48.474 39.352413793103445 29.258117812565775 494.37018614012203 653.3953215454366 2
1519859053.8337653 21.655316352 10.5.5.2 8080 10.5.5.1 34372 2342 2046 40.594 25.834 48.474 39.39379999999999 29.371476634440118 510.54205951997557 653.3953215454366 2
1519859053.933821 21.73127384 10.5.5.2 8080 10.5.5.1 34372 2353 2046 40.787 25.834 48.474 39.43874193548387 29.485631868095716 505.3601417911472 653.3953215454366 2
1519859054.034101 21.807712083 10.5.5.2 8080 10.5.5.1 34372 2365 2046 40.992 25.834 48.474 39.487281249999995 29.60069554941476 504.22952305521807 653.3953215454366 2
1519859054.1343553 21.887437538 10.5.5.2 8080 10.5.5.1 34372 2377 2046 40.636 25.834 48.474 39.522090909090906 29.711048593920612 530.3569169107984 653.3953215454366 2
1519859054.2344506 21.965111881 10.5.5.2 8080 10.5.5.1 34372 2388 2046 41.515 25.834 48.474 39.58070588235294 29.829088107981406 515.5760001021365 653.3953215454366 2
1519859054.3345888 22.045087129 10.5.5.2 8080 10.5.5.1 34372 2399 2046 41.501 25.834 48.474 39.635571428571424 29.94580722690159 530.971863741911 653.3953215454366 2
1519859054.4346752 22.119797625 10.5.5.2 8080 10.5.5.1 34372 2410 2046 41.459 25.834 48.474 39.68622222222222 30.060939154632575 494.7882527016887 653.3953215454366 2
